model	fcst_var	fcst_lead	fbias
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	120000	1.352555
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	150000	1.3174483333333333
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	180000	1.1527366666666665
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	210000	1.1107833333333332
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	240000	1.144715
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	270000	1.2150083333333332
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	300000	1.2805199999999999
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	330000	1.3323
RRFS_GDAS_GF.SPP.SPPT_mem04	APCP_03	360000	1.3574283333333332
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	030000	1.47197
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	060000	1.283665
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	090000	1.28376
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	120000	1.351285
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	150000	1.2918233333333333
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	180000	1.159775
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	210000	1.1034666666666666
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	240000	1.1302133333333333
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	270000	1.1820316666666668
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	300000	1.2240849999999999
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	330000	1.28419
RRFS_GDAS_GF.SPP.SPPT_mem05	APCP_03	360000	1.3773083333333334
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	030000	1.4869283333333332
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	060000	1.2898416666666666
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	090000	1.2457583333333333
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	120000	1.3089466666666667
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	150000	1.2833316666666668
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	180000	1.1409266666666666
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	210000	1.1253849999999999
RRFS_GDAS_GF.SPP.SPPT_mem06	APCP_03	240000	1.13474
